head_width,head_length,eye_length,femur_length,svl,interorbital,internarial,family
24.14,22.78,6.25,33.6,70.58,12.73,3.88,Tree Frogs
23.48,22.93,5.14,33.06,68.21,13.15,4.05,Tree Frogs
21.9,24.65,8.65,30.09,70.2,13.91,5.25,Tree Frogs
22.18,22.52,4.76,28.82,66.99,13.94,4.98,Tree Frogs
22.63,22.82,6.14,28.82,67.63,13.76,5.17,Tree Frogs
24.09,23.78,5.63,31.19,68.24,13.74,4.97,Tree Frogs
26.07,25.81,7.88,37.44,85.84,15.23,5.42,Tree Frogs
24.15,22.87,5.99,32.71,72.77,14.47,5.16,Tree Frogs
23.14,22.17,6.22,34.41,73.82,15.1,5.27,Tree Frogs
20.3,26.17,5.02,23.5,52.93,14.73,1.24,Tree Frogs
17.86,27.53,5.99,27.26,56.46,14.36,1.26,Tree Frogs
20.11,29.39,6.17,32.61,61.3,15.91,0.95,Tree Frogs
20.84,25.34,6.26,27.92,58.13,15.22,1.08,Tree Frogs
16.82,24.42,5.5,25.53,53.69,13.63,1.25,Tree Frogs
